               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.026306,            0.021134,           0.0024325,             0.88557,             0.64039,             0.69698,             0.42524,            0.030886,            0.017682,           0.0088877,            0.003584,            0.003584,            0.003584
                  98,            0.026801,            0.021356,           0.0026285,             0.88442,             0.64239,             0.68662,             0.42362,            0.031601,            0.018192,             0.00805,           0.0034991,           0.0034991,           0.0034991
                  99,            0.026357,            0.021544,           0.0024961,              0.9046,             0.60098,             0.69581,              0.4456,            0.031057,            0.017604,           0.0069166,           0.0034152,           0.0034152,           0.0034152
                 100,            0.026126,            0.021917,           0.0024114,              0.9569,             0.59538,             0.68299,             0.42183,            0.031198,            0.017864,           0.0079983,           0.0033321,           0.0033321,           0.0033321
                 101,            0.026169,            0.020341,           0.0023302,             0.92047,             0.59175,             0.67889,             0.42672,            0.031597,            0.017907,           0.0076544,             0.00325,             0.00325,             0.00325
                 102,            0.026446,            0.020758,           0.0021718,             0.93815,             0.61007,             0.67991,              0.4303,            0.030893,            0.017695,           0.0081807,           0.0031689,           0.0031689,           0.0031689
                 103,            0.026059,            0.020453,           0.0022243,             0.94817,             0.60117,             0.67094,             0.43025,            0.031158,            0.017874,            0.008207,           0.0030888,           0.0030888,           0.0030888
                 104,            0.025993,            0.020591,           0.0024722,             0.79028,             0.63701,             0.68398,              0.4309,            0.031491,            0.017627,           0.0081442,           0.0030097,           0.0030097,           0.0030097
                 105,            0.026262,            0.020544,           0.0021624,             0.93782,             0.63361,             0.70395,             0.42837,             0.03115,            0.018194,           0.0072221,           0.0029318,           0.0029318,           0.0029318
                 106,            0.025955,            0.021794,           0.0021933,             0.95549,               0.607,             0.67815,             0.42815,             0.03071,            0.018393,           0.0077794,            0.002855,            0.002855,            0.002855
                 107,            0.025714,            0.021296,           0.0022271,              0.9201,             0.61723,             0.69452,             0.43643,             0.03072,            0.018289,           0.0074106,           0.0027793,           0.0027793,           0.0027793
                 108,            0.025944,            0.020447,           0.0024614,             0.91286,             0.63361,             0.70813,             0.43409,            0.031234,            0.018201,             0.00845,           0.0027048,           0.0027048,           0.0027048
                 109,            0.025848,            0.021459,           0.0023045,             0.91748,             0.61415,             0.67035,             0.42918,            0.030382,            0.018115,           0.0088003,           0.0026316,           0.0026316,           0.0026316
                 110,            0.025258,            0.020813,           0.0022259,             0.94088,             0.60782,             0.68686,             0.43256,            0.031029,            0.018009,           0.0079378,           0.0025596,           0.0025596,           0.0025596
                 111,             0.02514,             0.02152,           0.0019315,             0.87764,             0.61924,             0.68859,             0.42282,            0.030655,            0.017936,           0.0079383,           0.0024889,           0.0024889,           0.0024889
                 112,            0.025054,             0.02036,           0.0022453,             0.89784,             0.60457,              0.6911,             0.43357,            0.030963,            0.018282,           0.0079177,           0.0024195,           0.0024195,           0.0024195
                 113,            0.025265,              0.0197,           0.0021686,              0.9418,             0.64643,             0.69743,              0.4349,            0.030956,            0.018366,           0.0086371,           0.0023515,           0.0023515,           0.0023515
                 114,            0.024871,            0.020055,           0.0022012,              0.9255,              0.6163,              0.6885,             0.42026,            0.030969,            0.018261,           0.0085066,           0.0022849,           0.0022849,           0.0022849
                 115,            0.024747,            0.020165,           0.0021058,             0.95543,             0.62224,             0.70083,             0.43756,            0.030889,             0.01837,            0.008318,           0.0022196,           0.0022196,           0.0022196
                 116,            0.024433,            0.020337,           0.0019039,             0.94802,             0.61191,             0.69342,             0.43208,            0.030964,            0.017967,           0.0079414,           0.0021558,           0.0021558,           0.0021558
                 117,            0.024761,            0.020676,           0.0018439,             0.90425,             0.62067,             0.68341,             0.43291,            0.030867,            0.017978,           0.0087547,           0.0020935,           0.0020935,           0.0020935
                 118,            0.025326,            0.020496,            0.002119,             0.90401,             0.64606,             0.69196,             0.43925,            0.030581,            0.017928,           0.0081788,           0.0020327,           0.0020327,           0.0020327
                 119,            0.025045,            0.020225,           0.0019926,             0.93254,             0.61385,             0.69798,             0.44447,            0.030862,            0.018012,           0.0078096,           0.0019734,           0.0019734,           0.0019734
                 120,            0.024227,            0.019501,           0.0017387,             0.89918,             0.62419,             0.68032,               0.438,            0.030827,            0.018026,           0.0079111,           0.0019156,           0.0019156,           0.0019156
                 121,            0.025116,            0.019813,           0.0018118,             0.86945,             0.64042,             0.71095,              0.4313,            0.030967,            0.018452,           0.0074776,           0.0018594,           0.0018594,           0.0018594
                 122,            0.024958,            0.020479,           0.0020555,             0.94548,             0.62437,             0.69071,             0.42512,            0.030874,            0.018184,           0.0087423,           0.0018048,           0.0018048,           0.0018048
                 123,            0.024555,            0.020228,            0.001945,             0.95759,             0.61568,             0.69903,             0.42954,            0.030923,            0.018145,           0.0074001,           0.0017519,           0.0017519,           0.0017519
