               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.03299,            0.022993,            0.003378,              0.8861,              0.6942,             0.77168,             0.46354,            0.032723,            0.019939,           0.0065989,           0.0071566,           0.0071566,           0.0071566
                  59,            0.031531,            0.022258,           0.0029586,             0.80862,             0.73532,             0.77728,             0.47042,            0.032352,            0.019902,           0.0053063,           0.0070686,           0.0070686,           0.0070686
                  60,             0.03179,            0.023146,           0.0030586,             0.93417,             0.67921,             0.78193,             0.46643,            0.033039,             0.02025,           0.0050747,           0.0069799,           0.0069799,           0.0069799
                  61,            0.032172,             0.02361,           0.0033421,             0.93269,             0.67889,             0.79163,             0.46093,            0.032476,             0.02002,           0.0045287,           0.0068906,           0.0068906,           0.0068906
                  62,            0.031713,             0.02277,           0.0031758,             0.80897,             0.76408,              0.7871,             0.46845,            0.031914,            0.019776,           0.0050942,           0.0068006,           0.0068006,           0.0068006
                  63,            0.031317,            0.024008,           0.0027413,             0.83364,             0.77707,             0.80269,             0.46184,            0.032099,            0.020186,           0.0057085,           0.0067101,           0.0067101,           0.0067101
                  64,            0.031048,            0.023551,           0.0028191,              0.8621,             0.74043,             0.80077,             0.45839,            0.032294,            0.020592,           0.0049211,           0.0066191,           0.0066191,           0.0066191
                  65,            0.031701,            0.023239,           0.0030254,             0.80567,             0.78714,             0.80324,             0.45549,            0.033267,            0.020111,           0.0053397,           0.0065276,           0.0065276,           0.0065276
                  66,            0.030843,             0.02273,           0.0029342,             0.76324,             0.75417,             0.76936,             0.43832,            0.034108,            0.021022,           0.0063225,           0.0064356,           0.0064356,           0.0064356
                  67,            0.031315,            0.023293,           0.0031507,             0.91716,             0.71014,             0.78483,             0.46114,            0.033267,            0.020254,           0.0062194,           0.0063432,           0.0063432,           0.0063432
                  68,            0.031205,            0.023029,           0.0028153,             0.75141,             0.77178,             0.76801,             0.44495,            0.032257,            0.019892,           0.0057696,           0.0062505,           0.0062505,           0.0062505
                  69,            0.031153,            0.023071,           0.0027264,             0.83542,             0.75094,             0.79481,             0.47263,             0.03093,            0.019575,           0.0053935,           0.0061574,           0.0061574,           0.0061574
                  70,            0.030081,            0.022345,           0.0027808,              0.8683,             0.71486,             0.76564,             0.45887,            0.032097,            0.019596,           0.0061792,            0.006064,            0.006064,            0.006064
                  71,            0.030399,             0.02329,           0.0026358,             0.88922,             0.70796,              0.7851,             0.45544,            0.032878,            0.020473,           0.0046219,           0.0059704,           0.0059704,           0.0059704
                  72,            0.030307,            0.022324,           0.0025899,             0.83337,             0.74656,             0.77862,              0.4634,             0.03239,            0.020135,           0.0049015,           0.0058766,           0.0058766,           0.0058766
                  73,            0.030425,            0.023274,           0.0027547,             0.78238,             0.67347,             0.73131,             0.44299,            0.032625,            0.020676,           0.0067598,           0.0057826,           0.0057826,           0.0057826
                  74,             0.03037,            0.022772,           0.0026791,             0.85565,             0.73055,             0.77591,             0.47038,            0.032149,            0.020042,           0.0053961,           0.0056884,           0.0056884,           0.0056884
                  75,            0.029561,            0.022334,           0.0025801,             0.85611,             0.70607,             0.77871,             0.46914,            0.032233,            0.020131,           0.0053181,           0.0055942,           0.0055942,           0.0055942
                  76,            0.029856,            0.021146,           0.0026063,             0.84833,             0.74585,             0.78952,             0.46086,            0.032032,            0.019554,           0.0056163,              0.0055,              0.0055,              0.0055
                  77,            0.029516,            0.022411,           0.0025559,             0.79449,             0.76148,             0.77152,             0.47244,            0.032111,             0.02004,           0.0061447,           0.0054058,           0.0054058,           0.0054058
                  78,            0.029421,            0.022907,           0.0027004,             0.83718,             0.71466,              0.7598,             0.44855,            0.032734,            0.019729,           0.0066571,           0.0053116,           0.0053116,           0.0053116
                  79,            0.029288,            0.023135,           0.0025389,             0.84375,             0.73055,             0.77119,             0.47183,            0.031418,            0.019206,           0.0068334,           0.0052174,           0.0052174,           0.0052174
                  80,            0.028902,            0.022072,            0.002046,             0.87822,             0.67872,             0.75999,             0.45796,            0.032376,            0.019916,            0.005692,           0.0051234,           0.0051234,           0.0051234
                  81,             0.02866,            0.022083,           0.0020148,              0.8335,             0.68287,              0.7596,             0.45724,            0.031529,             0.01985,           0.0066968,           0.0050296,           0.0050296,           0.0050296
                  82,            0.029055,            0.022513,           0.0024049,             0.93989,             0.66358,             0.77815,             0.45917,            0.032062,             0.01952,           0.0058311,            0.004936,            0.004936,            0.004936
                  83,            0.028835,            0.021064,           0.0022605,             0.78212,             0.74875,             0.77577,             0.45759,            0.031746,            0.019929,           0.0052415,           0.0048426,           0.0048426,           0.0048426
                  84,            0.028104,            0.021725,           0.0020736,             0.88938,             0.69554,             0.76902,             0.45591,             0.03256,            0.019906,           0.0048594,           0.0047495,           0.0047495,           0.0047495
                  85,            0.028706,            0.022107,           0.0023053,             0.84771,             0.69409,             0.76943,             0.45811,            0.032519,            0.019668,           0.0056261,           0.0046568,           0.0046568,           0.0046568
                  86,            0.028505,            0.022403,           0.0021858,             0.90572,              0.6942,             0.79563,             0.46017,            0.032561,            0.019403,           0.0066498,           0.0045644,           0.0045644,           0.0045644
                  87,            0.027444,            0.020746,            0.002024,             0.89888,              0.7404,             0.79652,             0.48682,            0.031312,            0.019453,            0.007203,           0.0044724,           0.0044724,           0.0044724
                  88,            0.027946,             0.02205,           0.0023512,              0.8893,             0.68909,             0.78438,             0.46147,            0.032012,            0.019587,           0.0054022,           0.0043809,           0.0043809,           0.0043809
                  89,            0.027895,            0.022323,           0.0020508,             0.87678,             0.72953,             0.79799,             0.46838,            0.031931,            0.019653,           0.0051972,           0.0042899,           0.0042899,           0.0042899
                  90,            0.028433,            0.021833,           0.0023127,             0.79555,             0.76121,             0.77904,             0.45359,            0.032156,            0.019733,           0.0049992,           0.0041994,           0.0041994,           0.0041994
                  91,            0.027959,            0.021842,           0.0019558,              0.7932,             0.74047,             0.78429,             0.47679,            0.031675,            0.019384,           0.0066751,           0.0041094,           0.0041094,           0.0041094
                  92,            0.027775,            0.021682,           0.0019583,             0.77188,             0.77571,             0.79214,             0.48142,             0.03158,            0.019626,             0.00568,           0.0040201,           0.0040201,           0.0040201
                  93,            0.027763,            0.021509,           0.0018454,             0.85288,              0.7144,               0.785,             0.47156,            0.031405,            0.019051,           0.0062993,           0.0039314,           0.0039314,           0.0039314
                  94,            0.027828,            0.022511,           0.0022526,             0.86939,             0.72982,             0.79684,             0.47537,            0.031351,            0.019542,            0.005955,           0.0038434,           0.0038434,           0.0038434
                  95,            0.027585,            0.021448,           0.0019077,             0.81616,               0.772,             0.78964,             0.45286,            0.032114,            0.019499,           0.0066697,           0.0037562,           0.0037562,           0.0037562
                  96,            0.027217,            0.021494,           0.0018647,             0.83373,             0.75535,             0.80415,             0.46612,            0.031304,              0.0195,           0.0061457,           0.0036697,           0.0036697,           0.0036697
                  97,            0.027454,            0.021617,           0.0022324,             0.82387,              0.7262,             0.80127,             0.47536,            0.031369,            0.019252,           0.0050925,            0.003584,            0.003584,            0.003584
                  98,            0.026906,            0.021173,            0.002011,             0.80801,             0.74089,             0.78805,             0.47699,            0.032345,            0.019267,           0.0058167,           0.0034991,           0.0034991,           0.0034991
                  99,            0.027603,             0.02155,           0.0019476,             0.84096,             0.69852,             0.78832,             0.46171,            0.031827,            0.020082,           0.0068569,           0.0034152,           0.0034152,           0.0034152
                 100,            0.027055,            0.020345,           0.0022766,             0.81098,              0.7618,             0.78902,             0.47177,            0.032322,            0.019375,           0.0064019,           0.0033321,           0.0033321,           0.0033321
                 101,            0.026885,            0.021321,           0.0018622,             0.90907,             0.70117,             0.79647,             0.47564,            0.032033,            0.019228,           0.0053287,             0.00325,             0.00325,             0.00325
